"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","980","Ввод почты и клик по кнопке «Восстановить»","tests","2026-04-17","passed","2026-04-17","TestPasswordRecovery","test_password_recovery","",""
"","949","При добавлении ингредиента в заказ счётчик этого ингредиента увеличивается","tests","2026-04-17","passed","2026-04-17","TestToConstructor","test_constractor","",""
"","5604","Залогиненный пользователь может оформить заказ","tests","2026-04-17","passed","2026-04-17","TestToConstructor","test_constractor","",""
"","1717","Всплывающее окно закрывается кликом по крестику","tests","2026-04-17","passed","2026-04-17","TestToConstructor","test_constractor","",""
"","283","Переход по клику на «Лента заказов»","tests","2026-04-17","passed","2026-04-17","TestToConstructor","test_constractor","",""
"","569","Если кликнуть на ингредиент, появится всплывающее окно с деталями","tests","2026-04-17","passed","2026-04-17","TestToConstructor","test_constractor","",""
"","602","Переход на страницу восстановления пароля по кнопке «Восстановить пароль»","tests","2026-04-17","passed","2026-04-17","TestPasswordRecovery","test_password_recovery","",""
"","954","Клик по кнопке показать/скрыть пароль делает поле активным","tests","2026-04-17","passed","2026-04-17","TestPasswordRecovery","test_password_recovery","",""
"","2613","Выход из аккаунта","tests","2026-04-17","passed","2026-04-17","TestPersonalAccount","test_personal_account","",""
"","7524","При создании нового заказа счётчик «Выполнено за всё время» увеличивается","tests","2026-04-17","passed","2026-04-17","TestOrderFeed","test_order_feed","",""
"","7063","После оформления заказа его номер появляется в разделе «В работе»","tests","2026-04-17","passed","2026-04-17","TestOrderFeed","test_order_feed","",""
"","7694","При создании нового заказа счётчик «Выполнено за всё время» увеличивается","tests","2026-04-17","passed","2026-04-17","TestOrderFeed","test_order_feed","",""
"","1355","При добавлении ингредиента в заказ счётчик этого ингредиента увеличивается","tests","2026-04-17","passed","2026-04-17","TestToConstructor","test_constractor","",""
"","7549","При создании нового заказа счётчик «Выполнено за сегодня» увеличивается","tests","2026-04-17","passed","2026-04-17","TestOrderFeed","test_order_feed","",""
"","1308","Переход в раздел «История заказов»","tests","2026-04-17","passed","2026-04-17","TestPersonalAccount","test_personal_account","",""
"","7998","При создании нового заказа счётчик «Выполнено за сегодня» увеличивается","tests","2026-04-17","passed","2026-04-17","TestOrderFeed","test_order_feed","",""
"","1001","Клик по кнопке показать/скрыть пароль делает поле активным","tests","2026-04-17","passed","2026-04-17","TestPasswordRecovery","test_password_recovery","",""
"","877","Если кликнуть на ингредиент, появится всплывающее окно с деталями","tests","2026-04-17","passed","2026-04-17","TestToConstructor","test_constractor","",""
"","1120","Ввод почты и клик по кнопке «Восстановить»","tests","2026-04-17","passed","2026-04-17","TestPasswordRecovery","test_password_recovery","",""
"","182","Переход по клику на «Личный кабинет»","tests","2026-04-17","passed","2026-04-17","TestPersonalAccount","test_personal_account","",""
"","6472","После оформления заказа его номер появляется в разделе «В работе»","tests","2026-04-17","passed","2026-04-17","TestOrderFeed","test_order_feed","",""
"","203","Переход по клику на «Лента заказов»","tests","2026-04-17","passed","2026-04-17","TestToConstructor","test_constractor","",""
"","5510","Залогиненный пользователь может оформить заказ","tests","2026-04-17","passed","2026-04-17","TestToConstructor","test_constractor","",""
"","2293","Выход из аккаунта","tests","2026-04-17","passed","2026-04-17","TestPersonalAccount","test_personal_account","",""
"","514","Переход на страницу восстановления пароля по кнопке «Восстановить пароль»","tests","2026-04-17","passed","2026-04-17","TestPasswordRecovery","test_password_recovery","",""
"","158","Переход по клику на «Личный кабинет»","tests","2026-04-17","passed","2026-04-17","TestPersonalAccount","test_personal_account","",""
"","700","Всплывающее окно закрывается кликом по крестику","tests","2026-04-17","passed","2026-04-17","TestToConstructor","test_constractor","",""
"","1511","Переход в раздел «История заказов»","tests","2026-04-17","passed","2026-04-17","TestPersonalAccount","test_personal_account","",""
